Print	1841	Console / demo recording
random	641	Lua stdlib: math
getn	272	Lua stdlib: table
AddMessage	244	Console / demo recording
GetJointIndex	242	Ragdoll / joints
SetAnim	242	Ragdoll / joints
Add	239	Waypoints / AI paths
PO_Create	234	World mesh / collision
Create	198	unidentified
GetJointPos	194	Ragdoll / joints
Release	193	World mesh / collision
Stop	190	Sound instance
sin	181	Lua stdlib: math
cos	181	Lua stdlib: math
sub	176	Lua stdlib: string
SetVelocity	165	World mesh / collision
GetPosition	160	World mesh / collision
SetPosition	148	World mesh / collision
PrintXY	141	HUD drawing
SetMeshVisibility	141	Ragdoll / joints
EnableCollisions	137	World mesh / collision
TransformPointByJoint	132	Ragdoll / joints
RegisterChild	131	World mesh / collision
format	130	Lua stdlib: string
DoFile	123	Registered individually (direct RegisterFunction call sites)
PlaySound	121	Menu / GUI
PO_Enable	119	World mesh / collision
RGB	119	Render / debug draw
EnableRagdoll	116	Ragdoll / joints
type	109	Lua stdlib: base
SetRagdollLinearDamping	105	Ragdoll / joints
abs	103	Lua stdlib: math
Log	103	Registered individually (direct RegisterFunction call sites)
EnableDraw	102	World mesh / collision
SetRagdollAngularDamping	101	Ragdoll / joints
LineTraceFixedGeom	98	World / level
atan2	95	Lua stdlib: math
insert	95	Lua stdlib: table
PO_SetCollisionGroup	94	World mesh / collision
Tick	93	World mesh / collision
GetTextWidth	93	HUD drawing
Explosion2	92	World / level
PO_EnableGravity	91	World mesh / collision
next	87	Lua stdlib: base
RGBA	83	Render / debug draw
Key	77	Input / timing
RemoveFromIntersectionSolver	72	World mesh / collision
MsgBox	72	Registered individually (direct RegisterFunction call sites)
PO_SetMovedByExplosions	72	World mesh / collision
ToNumber	72	Registered individually (direct RegisterFunction call sites)
Die	69	unidentified
GetVelocity	68	World mesh / collision
Delete	68	unidentified
AddEntity	65	World / level
find	64	Lua stdlib: string
UnregisterAllChildren	58	World mesh / collision
Update	58	Scoreboard
Play2D	55	Sound system
setconstant	55	Lua stdlib: table
write	54	Lua stdlib: io
setmetatable	51	Lua stdlib: base
PO_SetPinned	50	World mesh / collision
LineTrace	50	Ragdoll / joints
SetVolume	49	Sound instance
SetLoopCount	49	Sound instance
ScreenSize	49	Render / debug draw
SetRagdollCollisionGroup	47	Ragdoll / joints
len	46	Lua stdlib: string
SetAnimTimeScale	45	Ragdoll / joints
Play3D	44	Sound system
mod	44	Lua stdlib: math
EnableNetworkSynchronization	44	World mesh / collision
Replace	44	unidentified
sqrt	43	Lua stdlib: math
Play	43	Sound instance
SetPinnedJoint	40	Ragdoll / joints
floor	40	Lua stdlib: math
IsPlaying	39	Sound instance
GetPtrByIndex	37	World mesh / collision
SetParentOffset	36	unidentified
SpawnDecal	36	World mesh / collision
PO_GetPawnHeadPos	36	World mesh / collision
SetTimeToDie	36	World mesh / collision
getfenv	35	Lua stdlib: base
AddToIntersectionSolver	34	World mesh / collision
GetTime	33	Input / timing
SetTexture	33	Ragdoll / joints
Init	32	World / level
PO_IsActionState	32	World mesh / collision
Action	32	Input / timing
SetAngularVelocity	32	World mesh / collision
gsub	31	Lua stdlib: string
GetClientID	31	Network
FindFiles	30	Filesystem (FS)
VectorRotate	30	Registered individually (direct RegisterFunction call sites)
